year,age,Male,Female
1951,0,345283.9,327881.21
2018,90+,167009,361950
2018,89,50297,86757
2018,88,61794,101402
2018,87,73224,113357
2018,86,83798,123277
2018,85,93055,131476
2018,84,104143,141800
2018,83,119193,156290
2018,82,131207,168094
2018,81,143896,179345
2018,80,157065,190764
2018,79,166392,198782
2018,78,172046,202488
2018,77,168807,197340
2018,76,192021,220354
2018,75,219625,247270
2018,74,241234,266284
2018,73,245020,269150
2018,72,255554,278419
2018,71,336190,361374
2018,70,311407,335520
2018,69,297174,318141
2018,68,290138,312027
2018,67,286256,305321
2018,66,285760,303606
2018,65,296655,311698
2018,64,300853,317173
2018,63,301744,314964
2018,62,314633,325934
2018,61,327219,338594
2018,60,341131,351781
2018,59,348931,359874
2018,58,357968,368173
2018,57,374426,384028
2018,56,388635,398188
2018,55,396937,408404
2018,54,406510,418559
2018,53,410161,423144
2018,52,408088,421439
2018,51,410877,419486
2018,50,403737,415130
2018,49,404530,416040
2018,48,395535,406090
2018,47,405365,416845
2018,46,395517,401192
2018,45,379234,385049
2018,44,363192,369598
2018,43,357469,362755
2018,42,350575,355929
2018,41,346424,348121
2018,40,352101,353791
2018,39,377286,379664
2018,38,391859,397337
2018,37,391396,397248
2018,36,387242,394926
2018,35,388951,394992
2018,34,387477,391388
2018,33,399528,398654
2018,32,399827,398264
2018,31,391440,398745
2018,30,405599,405108
2018,29,404407,398776
2018,28,412432,397714
2018,27,419212,404484
2018,26,406516,398238
2018,25,398344,382149
2018,24,398777,377796
2018,23,385545,364594
2018,22,384953,359679
2018,21,379090,356970
2018,20,365272,345284
2018,19,357238,337970
2018,18,342704,323012
2018,17,331230,315248
2018,16,322053,304705
2018,15,326966,309669
2018,14,335049,319249
2018,13,340477,324828
2018,12,355341,338357
2018,11,363050,344031
2018,10,374227,356173
2018,9,370701,353272
2018,8,375940,358982
2018,7,382853,365100
2018,6,389944,372335
2018,5,379046,360147
2018,4,370156,352034
2018,3,366885,348453
2018,2,366722,348591
2018,1,355122,337670
2018,0,343642,326155
