year,age,Male,Female
1901,90+,3626.17,0
1901,89,1633.54,2890.61
1901,88,2138.34,3713.9
1901,87,2836.01,4733.42
1901,86,3740.82,6106.7
1901,85,4922.15,7918.56
1901,84,6328.96,9832.58
1901,83,8125.93,12185.16
1901,82,10110.68,14944.69
1901,81,12265.43,17914.03
1901,80,14576.11,20809
1901,79,16994.94,23343.71
1901,78,19485.04,26277.29
1901,77,22268.02,29802.49
1901,76,25392.92,33741.76
1901,75,28654.79,37832.25
1901,74,32147.66,41700.35
1901,73,35678.08,45881.77
1901,72,39088.66,50050.8
1901,71,42446.46,54148.43
1901,70,45954.93,58433.9
1901,69,49368.01,61283.38
1901,68,52195.5,64208.87
1901,67,55874.23,68581
1901,66,59972.75,73466.17
1901,65,64184.98,78487.96
1901,64,70430.03,83272.48
1901,63,76939.27,89977.35
1901,62,82345.06,96208.33
1901,61,86754.09,101272.09
1901,60,91224.11,106415.47
1901,59,95060.3,107191.46
1901,58,98319.33,109632.73
1901,57,100132.87,111606.1
1901,56,101179.51,112727.42
1901,55,103851.92,115688.6
1901,54,112802.86,123337.45
1901,53,121716.12,132391.85
1901,52,127596.19,138813.74
1901,51,131782.78,143397.87
1901,50,137157.4,149290.4
1901,49,144992.15,155647.84
1901,48,149544.07,159867.22
1901,47,150855.09,161298.39
1901,46,152815.02,163433.01
1901,45,159226.95,170366.36
1901,44,168241.18,178893.15
1901,43,173665.04,184343
1901,42,177323.77,188296.86
1901,41,182169.83,193510.43
1901,40,190612.23,202569.83
1901,39,201733.91,216158.12
1901,38,206317.34,221673.02
1901,37,207272.87,222749.14
1901,36,206783.61,222285.7
1901,35,210112.61,225937.64
1901,34,220000.27,240746.09
1901,33,222733.86,245094.51
1901,32,227232.15,250105.92
1901,31,236496.02,260353.4
1901,30,244876.88,269627.65
1901,29,256957.9,287299.24
1901,28,263586.85,296099.17
1901,27,266523.48,299415.32
1901,26,266237.92,299076.45
1901,25,271817.5,305325.8
1901,24,282869.24,316208.67
1901,23,290411.95,324140.78
1901,22,293480,327541.25
1901,21,297881.47,332442.46
1901,20,303845.7,339073.95
1901,19,314129.55,327327.72
1901,18,322301.84,328351.11
1901,17,323817.51,329932.41
1901,16,321979.55,328096.5
1901,15,323081.8,329269.03
1901,14,327074.09,328595
1901,13,331445.35,331470.18
1901,12,333541.17,333597.83
1901,11,335036.02,335111.92
1901,10,339508.02,339460.14
1901,9,341639.09,343057.82
1901,8,342869.25,344740.09
1901,7,347220.67,349037.47
1901,6,350496.5,352356.61
1901,5,354332.92,356239.56
1901,4,351033.47,354539.65
1901,3,347345.22,351415.48
1901,2,351265.55,355218.53
1901,1,369416.92,371931.34
1901,0,431254.17,423377.81
1951,90+,10601.94,0
1951,89,5284.65,12795
1951,88,7260.08,16766.33
1951,87,9871.39,21543.24
1951,86,13069.81,27044.21
1951,85,16899.09,33309.46
1951,84,21633.37,40799.72
1951,83,27223.72,49363.39
1951,82,33285.39,57895.23
1951,81,39942.89,66097.83
1951,80,48878.84,77714.58
1951,79,55962.79,84518.37
1951,78,65637.63,96932.06
1951,77,73605.05,107185.44
1951,76,84613.38,121378.35
1951,75,95001.99,135300.29
1951,74,104005.22,147211.37
1951,73,111293.55,157377.47
1951,72,118776.36,166887.41
1951,71,124255.82,171640.84
1951,70,134842.02,186817.32
1951,69,144856.94,196283.48
1951,68,150194.18,203520.44
1951,67,153954.72,205924.19
1951,66,160942.76,213522.52
1951,65,171064.56,224496.41
1951,64,177507.98,229187.08
1951,63,184401.57,237396.68
1951,62,190953.99,243129.72
1951,61,191128.09,239101.78
1951,60,200346.44,250925.84
1951,59,209404.18,257892.39
1951,58,217820.15,266114.68
1951,57,219768.75,266910.54
1951,56,222352.19,269755.25
1951,55,225475.29,273185.54
1951,54,235349.85,283375.98
1951,53,243683.28,289972.22
1951,52,253622.2,293970.67
1951,51,271667.52,301359.6
1951,50,297215.78,323666.23
1951,49,302611.49,316745.2
1951,48,306822.09,318778.76
1951,47,309546.46,321826.26
1951,46,315108.62,326966.42
1951,45,322621.53,332372.42
1951,44,322934.73,332542.18
1951,43,328243.4,339215.99
1951,42,338945.54,348803.48
1951,41,333605.84,340326.29
1951,40,337636.49,345467.62
1951,39,335634.47,343196.34
1951,38,333299.04,343976.78
1951,37,332225.32,343653.49
1951,36,332873.51,345042.31
1951,35,313295.05,324055.34
1951,34,293726.74,303584.6
1951,33,260715.91,270840.04
1951,32,258413.65,269250.42
1951,31,321337.76,329838.9
1951,30,365415.96,374074.55
1951,29,357336.29,365310.35
1951,28,333773.75,342190.1
1951,27,321820.25,329177.45
1951,26,315428.47,320423.87
1951,25,313443.76,316290.25
1951,24,306652.57,309583.21
1951,23,293921.92,300374.48
1951,22,286366.32,297208.48
1951,21,279340.52,295826.26
1951,20,268465.21,295899.89
1951,19,248323.42,288964.88
1951,18,259070.56,279110.82
1951,17,264277.56,269138.87
1951,16,270944.56,268977.5
1951,15,277226.29,271569.42
1951,14,283273.05,274953.6
1951,13,289815.46,279822.85
1951,12,292549.65,282498.58
1951,11,290715.02,280119.04
1951,10,278582.36,268286.07
1951,9,281040.61,270364.02
1951,8,308178.37,295572.59
1951,7,330356.02,315794.18
1951,6,345172.57,329504.03
1951,5,338485.98,323311.1
1951,4,399042.1,380849.41
1951,3,414486.25,395340.39
1951,2,384576.53,365545.32
1951,1,359796.89,342794.56
